State,HighQ,HighQN,MedQ,MedQN,LowQ,LowQN,date
Kentucky,338.89,1420,182.38,1425,NA,174,11/17/2014
Louisiana,364.13,1457,241.83,1285,NA,304,11/17/2014
Maine,315.25,593,244.92,624,NA,59,11/17/2014
Montana,265.96,718,241.45,355,NA,31,11/17/2014
Nebraska,338.21,676,246.34,687,NA,75,11/17/2014
Nevada,267.25,1186,228.13,1355,NA,78,11/17/2014
New Hampshire,355.81,570,296.23,630,NA,51,11/17/2014
New Jersey,346.49,2953,287.59,3985,NA,247,11/17/2014
New Mexico,288.25,759,214.01,620,NA,61,11/17/2014
New York,345.41,7555,264.49,8280,NA,604,11/17/2014
North Carolina,347.02,3908,244.97,2861,NA,303,11/17/2014
North Dakota,398.37,203,341.75,305,NA,23,11/17/2014
Ohio,333.38,4069,218.09,4062,NA,529,11/17/2014
Oklahoma,358.8,1039,234.59,1015,NA,187,11/17/2014
Oregon,206.99,2105,181.66,1913,NA,90,11/17/2014
Maryland,367.77,2734,255.82,2326,NA,189,11/17/2014
Massachusetts,347.96,3874,287.59,3579,NA,278,11/17/2014
Michigan,290.3,3871,270.84,3557,NA,286,11/17/2014
Minnesota,352.83,2282,273.83,2332,NA,122,11/17/2014
Mississippi,337.23,580,147.3,517,NA,138,11/17/2014
Missouri,352.56,2130,245.67,2009,NA,288,11/17/2014
Pennsylvania,364.13,5318,268.87,4697,NA,488,11/17/2014
Rhode Island,318.01,694,261.05,519,NA,46,11/17/2014
South Carolina,339.08,1609,204.92,1335,NA,161,11/17/2014
South Dakota,377.52,213,349.19,239,NA,25,11/17/2014
Tennessee,350.42,2140,225.5,1803,NA,206,11/17/2014
Texas,336.14,7916,232.94,8107,NA,1112,11/17/2014
Utah,291.07,919,237.71,998,NA,59,11/17/2014
Vermont,372.5,346,310.91,351,NA,31,11/17/2014
Virginia,366.23,3345,292.12,2930,NA,272,11/17/2014
Washington,233.73,3212,190.76,3386,NA,151,11/17/2014
West Virginia,357.62,528,220.48,519,NA,59,11/17/2014
Wisconsin,351.28,2150,274.51,2082,NA,159,11/17/2014
Wyoming,326.51,122,353.44,181,NA,12,11/17/2014
Alabama,339.16,1518,207.12,1432,NA,181,12/17/2014
Alaska,302.9,349,270.83,465,NA,37,12/17/2014
Arizona,299.15,2605,209.54,2385,NA,305,12/17/2014
Arkansas,343.19,833,207.55,819,NA,145,12/17/2014
California,244.01,16336,189.77,18840,NA,1078,12/17/2014
Colorado,243.7,3105,195.33,2817,NA,177,12/17/2014
Connecticut,337.53,1815,267.9,2038,NA,123,12/17/2014
Delaware,363.73,484,235.27,424,NA,41,12/17/2014
District of Columbia,349.26,648,282.54,569,NA,49,12/17/2014
Florida,301.44,9256,217.2,8038,NA,689,12/17/2014
Georgia,324.31,4375,217.28,3407,NA,303,12/17/2014
Hawaii,308.13,450,264.86,509,NA,30,12/17/2014
Idaho,274.55,441,244.79,666,NA,35,12/17/2014
Illinois,354.32,5555,282.78,5439,NA,441,12/17/2014
Indiana,332.73,2360,214.56,2210,NA,326,12/17/2014
Iowa,364.83,964,289.28,1022,NA,118,12/17/2014
Kansas,350.17,1140,260.4,977,NA,138,12/17/2014
Kentucky,338.83,1469,173.96,1479,NA,178,12/17/2014
Louisiana,362.16,1497,240.9,1332,NA,314,12/17/2014
Maine,312.16,611,234.64,650,NA,61,12/17/2014
Montana,265.68,729,241.42,364,NA,32,12/17/2014
Nebraska,336.14,693,245.83,711,NA,76,12/17/2014
Nevada,266.63,1221,227.01,1407,NA,78,12/17/2014
New Hampshire,354.56,592,289.83,643,NA,51,12/17/2014
New Jersey,345.84,3028,286.87,4126,NA,255,12/17/2014
New Mexico,288.07,788,218.11,654,NA,67,12/17/2014
New York,344.5,7757,263.78,8584,NA,614,12/17/2014
North Carolina,345.87,4039,246.16,2977,NA,310,12/17/2014
North Dakota,396.93,207,340.05,321,NA,23,12/17/2014
Ohio,332.94,4191,218.93,4199,NA,543,12/17/2014
Oklahoma,355.21,1091,237.16,1052,NA,193,12/17/2014
Oregon,206.37,2156,181.09,1990,NA,91,12/17/2014
Maryland,366.37,2823,255.6,2422,NA,193,12/17/2014
Massachusetts,346.79,3954,286.35,3725,NA,283,12/17/2014
Michigan,288.84,3957,271.24,3681,NA,292,12/17/2014
Minnesota,352.15,2328,273.65,2427,NA,126,12/17/2014
Mississippi,335.44,596,150.13,539,NA,141,12/17/2014
Missouri,351.64,2187,245.89,2081,NA,294,12/17/2014
Pennsylvania,363.36,5464,269.68,4893,NA,500,12/17/2014
Rhode Island,316.88,717,260.81,549,NA,47,12/17/2014
South Carolina,337.76,1662,206.08,1391,NA,161,12/17/2014
South Dakota,354.96,221,348.84,252,NA,25,12/17/2014
Tennessee,348.87,2210,225.42,1875,NA,215,12/17/2014
Texas,334.75,8127,233.41,8410,NA,1138,12/17/2014
Utah,290.87,949,237.84,1038,NA,60,12/17/2014
Vermont,371.85,354,309.17,359,NA,32,12/17/2014
Virginia,365.08,3455,292.38,3034,NA,282,12/17/2014
Washington,233.12,3304,188.75,3511,NA,160,12/17/2014
West Virginia,359.08,546,222.23,534,NA,60,12/17/2014
Wisconsin,350.96,2212,274.02,2163,NA,166,12/17/2014
Wyoming,323.53,128,350.78,191,NA,12,12/17/2014
Alabama,340.1,1069,199.31,966,152.11,128,1/18/2014
Alaska,291,260,263.79,305,388.58,26,1/18/2014
Arizona,303.59,1981,210.28,1664,197.17,226,1/18/2014
Arkansas,360.59,589,182.85,559,128.03,116,1/18/2014
California,248.49,12372,193.2,13134,192.89,790,1/18/2014
Colorado,236.53,2246,197.56,1833,212.07,133,1/18/2014
Connecticut,347.09,1325,273.74,1358,257.36,91,1/18/2014
Delaware,372.79,359,226.76,280,199.88,34,1/18/2014
District of Columbia,352.16,451,293.87,355,211.38,40,1/18/2014
Florida,306.51,6671,219.82,5376,157.37,523,1/18/2014
Georgia,331.71,3173,214.13,2327,154.7,233,1/18/2014
Hawaii,309.16,334,273.25,359,162.11,26,1/18/2014
Idaho,276.75,321,257.55,454,133.75,22,1/18/2014
Illinois,357,4096,287.31,3732,180.97,344,1/18/2014
Indiana,336.99,1709,206.86,1490,161.6,254,1/18/2014
Iowa,372.35,707,292.78,668,252.24,103,1/18/2014
Kansas,355.03,852,261.05,649,124.27,109,1/18/2014
Kentucky,338.28,1035,181.47,1010,125.11,136,1/18/2014
Louisiana,375.29,1105,243.99,892,152,231,1/18/2014
Maine,319.95,464,259.95,443,214.8,52,1/18/2014
Montana,279.12,593,251.58,267,734.65,22,1/18/2014
Nebraska,352.25,517,248.63,523,142.51,63,1/18/2014
Nevada,270.5,925,219.13,951,231.08,61,1/18/2014
New Hampshire,378.24,441,289.58,460,561.24,39,1/18/2014
New Jersey,355.14,2290,293.7,2869,231.68,192,1/18/2014
New Mexico,294.51,579,205.38,447,63.7,42,1/18/2014
New York,352.28,5947,268.52,5976,190.04,491,1/18/2014
North Carolina,355.48,2866,247.17,1967,151.95,232,1/18/2014
North Dakota,410.88,141,360.64,206,269.55,13,1/18/2014
Ohio,336.67,3136,213.6,2891,168.15,407,1/18/2014
Oklahoma,364.32,775,229.81,694,120.5,133,1/18/2014
Oregon,212.73,1650,189.15,1361,172.89,62,1/18/2014
Maryland,379.9,2022,247.6,1594,196.11,153,1/18/2014
Massachusetts,353.99,2943,297.42,2529,217.65,223,1/18/2014
Michigan,298.62,3118,276.44,2591,228.6,232,1/18/2014
Minnesota,370.15,1757,278.5,1586,182.59,102,1/18/2014
Mississippi,340.41,415,151.2,358,137.43,98,1/18/2014
Missouri,368.66,1592,242.14,1321,151.52,210,1/18/2014
Pennsylvania,372.28,3930,266.33,3304,194.7,375,1/18/2014
Rhode Island,334.34,538,261.08,364,207.93,33,1/18/2014
South Carolina,347.53,1180,201.79,924,174.67,122,1/18/2014
South Dakota,386.84,167,367.48,170,125.68,20,1/18/2014
Tennessee,358.42,1591,224.35,1264,199.5,153,1/18/2014
Texas,342.53,6126,235.94,5809,142.28,867,1/18/2014
Utah,292.22,704,233.04,696,168.59,44,1/18/2014
Vermont,378.89,283,323,232,187.64,25,1/18/2014
Virginia,373.89,2536,287.54,2016,227.21,210,1/18/2014
Washington,235.92,2393,192.24,2418,149.69,109,1/18/2014
West Virginia,362.05,368,197.69,382,158.3,41,1/18/2014
Wisconsin,358.14,1668,269.66,1409,231.68,130,1/18/2014
Wyoming,354.03,94,377.77,136,161.3,11,1/18/2014
Alabama,336.5,1565,209.3,1496,NA,187,1/18/2015
Alaska,302.89,354,270.76,486,NA,37,1/18/2015
Arizona,297.59,2687,208.8,2487,NA,310,1/18/2015
Arkansas,341.38,861,208.5,859,NA,146,1/18/2015
California,243.49,16723,189.16,19498,NA,1113,1/18/2015
Colorado,243.17,3191,195.74,2941,NA,187,1/18/2015
Connecticut,336.23,1853,267.2,2112,NA,129,1/18/2015
Delaware,364.04,500,234.94,439,NA,43,1/18/2015
District of Columbia,347.69,665,282.09,595,NA,49,1/18/2015
Florida,300.58,9529,216.57,8352,NA,703,1/18/2015
Georgia,323.44,4516,216.78,3550,NA,310,1/18/2015
Hawaii,307.42,460,261.18,536,NA,30,1/18/2015
Idaho,274.63,461,244.13,684,NA,36,1/18/2015
Illinois,352.86,5726,282.62,5630,NA,456,1/18/2015
Indiana,331.74,2425,215.43,2298,NA,332,1/18/2015
Iowa,364.87,983,289.95,1068,NA,122,1/18/2015
Kansas,349.73,1179,259.1,1020,NA,141,1/18/2015
Kentucky,338.93,1520,174.1,1538,NA,180,1/18/2015
Louisiana,361.72,1553,240.86,1385,NA,324,1/18/2015
Maine,312.37,626,234.84,668,NA,62,1/18/2015
Montana,265.62,742,246.61,377,NA,32,1/18/2015
Nebraska,334.96,701,244.58,739,NA,76,1/18/2015
Nevada,265.47,1260,226.65,1464,NA,78,1/18/2015
New Hampshire,353.53,607,288.47,666,NA,51,1/18/2015
New Jersey,345.18,3102,285.86,4298,NA,261,1/18/2015
New Mexico,287.86,815,219.18,674,NA,69,1/18/2015
New York,343.62,7952,263.34,8887,NA,624,1/18/2015
North Carolina,344.72,4178,245.9,3097,NA,321,1/18/2015
North Dakota,392.54,215,323.42,334,NA,24,1/18/2015
Ohio,332.51,4323,219.03,4364,NA,554,1/18/2015
Oklahoma,353.65,1142,238.05,1090,NA,198,1/18/2015
Oregon,205.4,2215,180.93,2064,NA,99,1/18/2015
Maryland,363.94,2920,267.22,2528,NA,194,1/18/2015
Massachusetts,344.8,4050,285.04,3859,NA,291,1/18/2015
Michigan,287.47,4037,269.44,3810,NA,302,1/18/2015
Minnesota,347.84,2415,273.45,2532,NA,133,1/18/2015
Mississippi,336.55,627,151.21,563,NA,146,1/18/2015
Missouri,351.13,2254,245.06,2159,NA,303,1/18/2015
Pennsylvania,362.39,5616,269.44,5075,NA,509,1/18/2015
Rhode Island,317.17,726,258.66,579,NA,47,1/18/2015
South Carolina,337.09,1719,205.26,1435,NA,164,1/18/2015
South Dakota,358.24,223,348.71,258,NA,25,1/18/2015
Tennessee,348.19,2279,226.31,1959,NA,226,1/18/2015
Texas,333.84,8383,232.44,8777,NA,1162,1/18/2015
Utah,289.99,970,236.96,1086,NA,62,1/18/2015
Vermont,370.46,364,307.42,380,NA,32,1/18/2015
Virginia,364.72,3572,292.04,3151,NA,289,1/18/2015
Washington,233.18,3393,188.65,3633,NA,161,1/18/2015
West Virginia,357.78,559,226,556,NA,60,1/18/2015
Wisconsin,350.02,2277,271.94,2273,NA,168,1/18/2015
Wyoming,320.39,133,351.58,199,NA,12,1/18/2015
Alabama,340.14,1124,202.43,1015,146.33,133,2/18/2014
Alaska,284.21,275,253.84,320,388.58,26,2/18/2014
Arizona,303.31,2063,209.85,1745,195.71,237,2/18/2014
Arkansas,358.79,615,183.03,582,127.31,124,2/18/2014
California,248.14,12838,192.92,13708,190.78,819,2/18/2014
Colorado,237.27,2368,197.88,1947,227.89,143,2/18/2014
Connecticut,346.79,1370,276.95,1433,252.31,95,2/18/2014
Delaware,372.13,371,227.49,290,206.61,36,2/18/2014
District of Columbia,349.57,468,293.84,382,208.53,41,2/18/2014
Florida,305.6,7021,219.58,5692,153.79,538,2/18/2014
Georgia,331.58,3316,213.81,2430,153.61,236,2/18/2014
Hawaii,308.15,346,273,375,167.62,27,2/18/2014
Idaho,275.29,330,258.39,481,129.39,23,2/18/2014
Illinois,355.82,4303,287.45,3899,177.54,359,2/18/2014
Indiana,334.96,1805,208.36,1564,168.7,261,2/18/2014
Iowa,370.88,741,293.05,705,247.69,107,2/18/2014
Kansas,354.12,879,261.44,690,113.7,111,2/18/2014
Kentucky,338.84,1083,181.4,1056,124.52,142,2/18/2014
Louisiana,373.41,1159,243.81,942,148.11,246,2/18/2014
Maine,320.29,475,259.88,463,214.8,52,2/18/2014
Montana,270.01,609,251.5,281,734.65,22,2/18/2014
Nebraska,347.42,543,249,542,141.76,64,2/18/2014
Nevada,269.43,951,218.28,993,252.49,63,2/18/2014
New Hampshire,376.25,457,289.71,479,677.38,41,2/18/2014
New Jersey,354.07,2363,291.81,2999,233.99,203,2/18/2014
New Mexico,292.03,601,204.83,463,63.7,42,2/18/2014
New York,351.31,6149,268.09,6257,189.78,505,2/18/2014
North Carolina,355.2,2982,248.4,2052,152.4,242,2/18/2014
North Dakota,405.84,149,351.08,224,363.11,16,2/18/2014
Ohio,336.45,3253,213.56,3043,166.38,423,2/18/2014
Oklahoma,365.71,811,228.14,732,118.85,139,2/18/2014
Oregon,211.97,1714,188.93,1424,169.34,68,2/18/2014
Maryland,380.16,2119,250.39,1679,192.2,158,2/18/2014
Massachusetts,352.12,3054,296.53,2635,221.4,229,2/18/2014
Michigan,297.67,3208,275.29,2702,225.49,238,2/18/2014
Minnesota,369.78,1814,277.87,1668,181.28,103,2/18/2014
Mississippi,338.18,444,147.57,385,140.88,110,2/18/2014
Missouri,368,1670,242.24,1399,149.4,217,2/18/2014
Pennsylvania,370.89,4141,266.9,3489,190.74,391,2/18/2014
Rhode Island,332.78,559,259.93,383,201.75,34,2/18/2014
South Carolina,346.23,1245,202.25,978,174.45,128,2/18/2014
South Dakota,390.15,174,367.51,181,124.17,21,2/18/2014
Tennessee,357.25,1666,226.89,1332,193.34,163,2/18/2014
Texas,341.6,6402,235.77,6154,143.69,917,2/18/2014
Utah,292.2,729,234.16,744,189.78,47,2/18/2014
Vermont,377.65,291,320.52,248,187.64,25,2/18/2014
Virginia,372.67,2636,288.38,2133,227.61,222,2/18/2014
Washington,235.41,2486,191.28,2520,146.19,116,2/18/2014
West Virginia,363.64,395,197.21,397,158.3,41,2/18/2014
Wisconsin,357.86,1730,270.37,1486,239.71,137,2/18/2014
Wyoming,354.11,95,378.34,140,161.3,11,2/18/2014
Alabama,341.01,1176,204.33,1065,147.8,137,3/18/2014
Alaska,285.65,283,256.07,337,388.58,26,3/18/2014
Arizona,302.89,2124,209.5,1812,190.91,247,3/18/2014
Arkansas,352.14,643,183,610,129.67,126,3/18/2014
California,246.91,13220,192.93,14229,192.14,847,3/18/2014
Colorado,238.63,2471,197.74,2039,225.27,147,3/18/2014
Connecticut,346.5,1412,276.02,1485,252.31,95,3/18/2014
Delaware,371.76,383,226.54,310,206.61,36,3/18/2014
District of Columbia,348.76,484,293.29,397,208.53,41,3/18/2014
Florida,305.03,7316,219.31,5963,151.95,562,3/18/2014
Georgia,329.72,3452,214.59,2542,151.82,243,3/18/2014
Hawaii,307.66,357,275.69,392,167.62,27,3/18/2014
Idaho,275.86,341,255.94,503,140.27,26,3/18/2014
Illinois,358.02,4429,286.77,4043,176.11,367,3/18/2014
Indiana,334.48,1864,208.88,1646,168.09,263,3/18/2014
Iowa,370.95,762,291.28,736,247.69,107,3/18/2014
Kansas,352.15,918,262.69,722,121.53,116,3/18/2014
Kentucky,337.43,1138,182.46,1102,125.1,145,3/18/2014
Louisiana,370.85,1190,243.37,984,147.58,253,3/18/2014
Maine,319.24,495,258.91,476,213.48,53,3/18/2014
Montana,269.41,620,256.54,292,704.89,23,3/18/2014
Nebraska,347.03,566,249.66,558,140.63,67,3/18/2014
Nevada,268.53,979,217.68,1049,252.49,63,3/18/2014
New Hampshire,369.54,473,290.65,495,677.38,41,3/18/2014
New Jersey,353.27,2433,291.75,3126,231.72,212,3/18/2014
New Mexico,291.16,622,215.18,482,75.12,44,3/18/2014
New York,350.94,6312,267,6494,205.36,517,3/18/2014
North Carolina,353.98,3115,246.64,2161,151.82,247,3/18/2014
North Dakota,401.42,161,355.14,231,347.51,17,3/18/2014
Ohio,335.84,3365,214.26,3183,165.86,434,3/18/2014
Oklahoma,364.81,836,229.19,769,118.75,148,3/18/2014
Oregon,211.23,1762,188.39,1476,169.42,70,3/18/2014
Maryland,377.86,2190,250.59,1745,190.34,165,3/18/2014
Massachusetts,351.15,3145,294.99,2742,218.41,237,3/18/2014
Michigan,296.69,3296,272.95,2799,229.56,243,3/18/2014
Minnesota,367.74,1885,277.68,1756,179.7,104,3/18/2014
Mississippi,342.31,464,146.93,399,137.97,116,3/18/2014
Missouri,367.99,1744,244.08,1463,149.74,220,3/18/2014
Pennsylvania,369.56,4296,267.44,3653,190.28,403,3/18/2014
Rhode Island,332.33,577,259.39,399,201.75,34,3/18/2014
South Carolina,346.01,1292,202.93,1025,191.65,134,3/18/2014
South Dakota,388.48,178,353.22,186,124.17,21,3/18/2014
Tennessee,356.75,1727,226.34,1400,191.2,170,3/18/2014
Texas,340.98,6627,235.19,6429,143.88,942,3/18/2014
Utah,291.96,750,235.15,775,187.19,48,3/18/2014
Vermont,377.23,295,320.55,259,190.36,26,3/18/2014
Virginia,372.35,2712,288.05,2219,225.25,227,3/18/2014
Washington,234.42,2584,191.53,2612,145.18,119,3/18/2014
West Virginia,359.51,416,215.62,413,160.38,43,3/18/2014
Wisconsin,356.81,1782,270.09,1549,240.15,139,3/18/2014
Wyoming,355.71,100,376.85,146,161.3,11,3/18/2014
Alabama,341.06,1232,204.87,1108,143.98,143,4/18/2014
Alaska,287.86,292,256.64,349,375.82,27,4/18/2014
Arizona,301.43,2195,209.24,1900,194.11,254,4/18/2014
Arkansas,352.04,681,184.67,633,129.02,128,4/18/2014
California,246.24,13610,191.99,14826,192.76,878,4/18/2014
Colorado,237.04,2556,196.41,2137,228.07,153,4/18/2014
Connecticut,345.25,1455,275,1538,249.46,99,4/18/2014
Delaware,370.6,398,227.79,321,209.72,38,4/18/2014
District of Columbia,346.89,502,290.46,418,214.01,45,4/18/2014
Florida,304.32,7600,218.61,6222,152.28,587,4/18/2014
Georgia,329.09,3581,215.12,2641,154.24,251,4/18/2014
Hawaii,314.2,370,275.71,410,167.62,27,4/18/2014
Idaho,274.75,351,255.28,517,139.21,27,4/18/2014
Illinois,356.89,4592,286.16,4189,189.63,377,4/18/2014
Indiana,334.76,1917,209.72,1704,157.6,274,4/18/2014
Iowa,370.31,787,292.34,766,247.1,110,4/18/2014
Kansas,351.31,953,261.58,754,120.19,119,4/18/2014
Kentucky,335.91,1176,182.92,1146,124.51,151,4/18/2014
Louisiana,370.35,1229,244.16,1028,147.57,260,4/18/2014
Maine,318.71,509,257.98,498,216.72,56,4/18/2014
Montana,268.74,634,250.49,306,660.67,25,4/18/2014
Nebraska,344.29,584,250.8,574,140.02,68,4/18/2014
Nevada,268.5,1010,227.36,1087,243.46,66,4/18/2014
New Hampshire,360.74,484,290.85,512,677.38,41,4/18/2014
New Jersey,352.49,2509,290.9,3238,232.13,215,4/18/2014
New Mexico,290.79,633,200.99,509,80.21,47,4/18/2014
New York,349.38,6479,266.57,6735,205.32,526,4/18/2014
North Carolina,353.84,3231,245.22,2269,150.89,253,4/18/2014
North Dakota,392.48,166,351.03,242,334.13,18,4/18/2014
Ohio,336.27,3471,215.9,3326,164.6,448,4/18/2014
Oklahoma,366.63,861,232.27,806,120.93,154,4/18/2014
Oregon,210.09,1805,185.99,1534,165.75,75,4/18/2014
Maryland,375.31,2263,249.77,1827,189.38,168,4/18/2014
Massachusetts,350.33,3258,294.91,2844,219.35,240,4/18/2014
Michigan,295.39,3373,278.47,2905,272.58,248,4/18/2014
Minnesota,367.57,1953,277.21,1848,183.45,108,4/18/2014
Mississippi,340.63,482,146.13,411,141.39,118,4/18/2014
Missouri,368.07,1802,245.08,1549,148.35,231,4/18/2014
Pennsylvania,368.52,4439,267.52,3781,195.66,419,4/18/2014
Rhode Island,330.22,590,259.85,409,208.36,35,4/18/2014
South Carolina,344.47,1335,202.62,1066,186.91,139,4/18/2014
South Dakota,387.6,179,355.3,197,124.17,21,4/18/2014
Tennessee,356.35,1790,224.94,1449,188.47,174,4/18/2014
Texas,339.55,6820,233.84,6697,143.15,969,4/18/2014
Utah,291.1,776,241.44,814,188.53,50,4/18/2014
Vermont,376.65,308,318.98,269,190.36,26,4/18/2014
Virginia,371.25,2797,288.3,2305,224.33,235,4/18/2014
Washington,233.52,2655,190.77,2708,141.86,123,4/18/2014
West Virginia,357.05,434,215.08,428,158.25,46,4/18/2014
Wisconsin,355.43,1836,271.05,1631,241.02,141,4/18/2014
Wyoming,355.73,105,362.56,150,161.3,11,4/18/2014
Alabama,341.17,1279,204.84,1152,142.72,146,5/18/2014
Alaska,285.53,303,260.22,363,359.87,29,5/18/2014
Arizona,302.4,2249,208.35,1972,189.14,265,5/18/2014
Arkansas,351.37,693,184.01,652,129.02,128,5/18/2014
California,245.9,14008,192.39,15343,190.02,911,5/18/2014
Colorado,236.82,2635,196.59,2222,233.09,155,5/18/2014
Connecticut,344.82,1490,272.78,1592,251.03,100,5/18/2014
Delaware,369.57,408,228.88,327,209.72,38,5/18/2014
District of Columbia,346.08,522,290.83,434,209.83,47,5/18/2014
Florida,303.68,7859,217.21,6475,152.44,598,5/18/2014
Georgia,327.58,3677,215.23,2751,153.02,261,5/18/2014
Hawaii,314.35,381,266.22,424,165.55,28,5/18/2014
Idaho,276.27,363,251.97,530,136.89,28,5/18/2014
Illinois,356.06,4704,285.96,4331,188.97,389,5/18/2014
Indiana,334.16,1971,210.27,1787,156.41,279,5/18/2014
Iowa,368.53,810,289.15,799,247.1,110,5/18/2014
Kansas,349.96,975,260.91,779,120.26,123,5/18/2014
Kentucky,339.22,1211,181.6,1200,124.69,155,5/18/2014
Louisiana,368.25,1271,244.64,1062,145.19,269,5/18/2014
Maine,317.64,520,258,519,274.25,58,5/18/2014
Montana,268.05,642,252.43,311,645.6,26,5/18/2014
Nebraska,343.56,601,251.18,591,136.34,70,5/18/2014
Nevada,267.95,1037,230.05,1128,242.08,68,5/18/2014
New Hampshire,359.59,493,291.66,527,666.71,42,5/18/2014
New Jersey,351.57,2567,289.93,3329,224.99,221,5/18/2014
New Mexico,290.05,650,200.54,524,85.81,52,5/18/2014
New York,348.52,6625,266.36,6945,205.01,534,5/18/2014
North Carolina,351.51,3344,244.77,2356,151.17,259,5/18/2014
North Dakota,401.38,176,353.73,249,334.13,18,5/18/2014
Ohio,335.75,3570,216.23,3440,163.29,462,5/18/2014
Oklahoma,367.02,885,234.6,832,119.23,158,5/18/2014
Oregon,209.6,1841,185.46,1583,163.84,77,5/18/2014
Maryland,373.42,2332,249.72,1902,188.3,170,5/18/2014
Massachusetts,351.03,3341,294.02,2946,218.67,247,5/18/2014
Michigan,295.07,3454,278.43,3004,273.48,256,5/18/2014
Minnesota,366.01,2011,276.81,1909,181.83,109,5/18/2014
Mississippi,340.35,502,144.85,436,140.57,120,5/18/2014
Missouri,367.72,1855,243.72,1620,143.7,250,5/18/2014
Pennsylvania,367.42,4560,267.38,3929,196.56,431,5/18/2014
Rhode Island,329.16,600,258.57,424,201.42,37,5/18/2014
South Carolina,343,1373,200.22,1101,190.55,141,5/18/2014
South Dakota,382.94,183,351.72,205,123.94,22,5/18/2014
Tennessee,354.8,1844,225.06,1506,187.46,176,5/18/2014
Texas,338.81,7001,233.62,6905,142.42,994,5/18/2014
Utah,289.49,803,239.49,837,201.13,52,5/18/2014
Vermont,376.52,315,321.13,278,190.36,26,5/18/2014
Virginia,369.85,2884,288.43,2405,222.77,243,5/18/2014
Washington,233.09,2704,190.22,2799,142.98,128,5/18/2014
West Virginia,355.41,452,214.66,437,156.1,48,5/18/2014
Wisconsin,354.86,1875,272.04,1685,239.18,144,5/18/2014
Wyoming,350.72,108,358.86,157,161.3,11,5/18/2014
Alabama,338,1863,206.53,1795,NA,216,5/18/2015
Alaska,294.42,397,264.06,568,NA,41,5/18/2015
Arizona,297.4,2945,207.93,2824,NA,341,5/18/2015
Arkansas,334.48,979,211.76,979,NA,169,5/18/2015
California,241.98,18275,188.87,21760,NA,1220,5/18/2015
Colorado,241.5,3550,195.26,3372,NA,213,5/18/2015
Connecticut,332.78,2087,265.52,2472,NA,145,5/18/2015
Delaware,353.58,554,241.25,501,NA,47,5/18/2015
District of Columbia,345.31,751,281.64,714,NA,54,5/18/2015
Florida,298.25,10632,215.61,9539,NA,774,5/18/2015
Georgia,318.12,5129,216.39,4134,NA,343,5/18/2015
Hawaii,302.99,526,258.31,610,NA,32,5/18/2015
Idaho,273.62,504,242.19,780,NA,42,5/18/2015
Illinois,349.09,6295,279.58,6443,NA,503,5/18/2015
Indiana,328.92,2705,219.44,2599,NA,355,5/18/2015
Iowa,361.47,1085,286.71,1210,NA,133,5/18/2015
Kansas,346.09,1283,261.5,1190,NA,154,5/18/2015
Kentucky,341.74,1673,184.24,1746,NA,200,5/18/2015
Louisiana,358.06,1832,239.74,1641,NA,368,5/18/2015
Maine,303.95,680,233.46,756,NA,72,5/18/2015
Montana,264.72,783,238.73,439,NA,36,5/18/2015
Nebraska,331.56,775,239.59,845,NA,77,5/18/2015
Nevada,265.32,1409,224.23,1626,NA,89,5/18/2015
New Hampshire,350.4,653,284.99,750,NA,58,5/18/2015
New Jersey,342.4,3390,283.27,4879,NA,283,5/18/2015
New Mexico,282.97,898,218.75,766,NA,73,5/18/2015
New York,338.93,8769,261.13,10004,NA,675,5/18/2015
North Carolina,341.96,4700,244.06,3574,NA,354,5/18/2015
North Dakota,383.39,248,338.75,396,NA,27,5/18/2015
Ohio,331.32,4827,219.32,5014,NA,608,5/18/2015
Oklahoma,349.54,1276,241.72,1258,NA,213,5/18/2015
Oregon,202.63,2480,178.24,2374,NA,113,5/18/2015
Maryland,359.39,3219,265.26,2901,NA,212,5/18/2015
Massachusetts,340.32,4413,280.82,4404,NA,319,5/18/2015
Michigan,283.41,4411,263.9,4259,NA,327,5/18/2015
Minnesota,340.31,2657,269.87,2937,NA,147,5/18/2015
Mississippi,332.78,780,155.39,731,NA,174,5/18/2015
Missouri,348.55,2522,247.31,2463,NA,329,5/18/2015
Pennsylvania,358.59,6118,268.25,5818,NA,553,5/18/2015
Rhode Island,313.94,792,249.55,671,NA,47,5/18/2015
South Carolina,333.66,1960,207.76,1660,NA,185,5/18/2015
South Dakota,357.97,250,341.22,300,NA,28,5/18/2015
Tennessee,345.08,2552,227.11,2266,NA,256,5/18/2015
Texas,326.47,9428,231.88,10106,NA,1274,5/18/2015
Utah,285.51,1058,233.47,1221,NA,71,5/18/2015
Vermont,365.49,401,304.83,432,NA,32,5/18/2015
Virginia,361.91,3960,289.8,3577,NA,318,5/18/2015
Washington,231.54,3713,187.38,4100,NA,179,5/18/2015
West Virginia,358.06,630,224.8,636,NA,63,5/18/2015
Wisconsin,345.58,2513,271.93,2639,NA,180,5/18/2015
Wyoming,314.89,146,345.46,222,NA,13,5/18/2015
Alabama,341.18,1321,204.59,1182,148.39,152,6/18/2014
Alaska,288.75,315,262.17,379,372.09,31,6/18/2014
Arizona,302.76,2303,208.82,2028,185.68,273,6/18/2014
Arkansas,349.7,716,183.87,676,126.2,134,6/18/2014
California,245.53,14381,192.01,15852,189.45,938,6/18/2014
Colorado,236.91,2706,196.47,2295,231.56,158,6/18/2014
